no,username,komentar
2024,,"b'@ kaprodi, ayo semangat ibu membujuk dosen-dosen SPA1, biar MBKM sy bisa di konversi kesitu HWHWHWHW'"
2025,,"b'Mantapkan Pemahaman Program, Tim MBKM dan PD Dikti Sosialisasikan Teknis MBKM ke\xc2\xa0Unud https://t.co/8pZIU8cXV7'"
2026,,"b'-dips! dpt info dari dosen, ada satu somasi dari mitra magang program MBKM karena mhsw Undip mangkir selama 3 mingg\xe2\x80\xa6 https://t.co/bh6r0HJfz7'"
2027,,b'Mbkm magang gw ko blm ada notip yak:('
2028,,b'Pencanangan Program MBKM Kemdikbud Ristek dan Pemkab Gowa Masuk Tahap\xc2\xa0Finalisasi https://t.co/pzEEdFleDq'
2029,,"b'Memajukan SDM, Pemkab Badung Siap Dukung\xc2\xa0MBKM https://t.co/52CgL07U8i'"
2030,,b'Program peningkatan kualitas SDM tsb melalui tranformasi pendidikan tinggi lewat program Merdeka Belajar Kampus Mer\xe2\x80\xa6 https://t.co/e8fkZ5jzmU'
2031,,b'wkwkw tadi malem ngimpi nilai matkul MBKM udah keluar di SIX. Bangun pagi langsung reflek buka SIX'
2032,,b'@xdjlyy mine magang lo mbkm atau mandiri?'
2033,,b'nangisss gua dapet panggilan magang dari mbkm tapi terlanjur ambil program km. KENAPA PANGGILANNYA GA DARI KEMAREN2 AJEEEE'
2034,,b'Mari hadiri Webinar Nasional *\xe2\x80\x9cOptimisme SEAMEO Centers Indonesia di Tengah Pandemi COVID-19 dalam Mendukung Keberl\xe2\x80\xa6 https://t.co/GnrDJVXM5R'
2035,,"b'SELAMAT BERTUGAS KEPADA MAHASISWA UNIVERSITAS NUSA MANDIRI\n\nHai, Generasi Mandiri..\n\nSelamat dan sukses kepada maha\xe2\x80\xa6 https://t.co/oMq4AJ7saS'"
2036,,b'Pencanangan Program MBKM Kemdikbud Ristek dan Pemkab Gowa Masuk Tahap Finalisasi - https://t.co/fz96LhzYRd https://t.co/JDAIeIwgRD'
2037,,b'[cm] guys yang daftar mbkm tanihub udah pengumuman belum? atau sampe tahap apa'
2038,,b'@seagull_kookoo @iniciaaaaa @collegemenfess Mjb. Btw ikut kampus merdeka tuu bisa daftar sendiri gk kak?.\nMaksudnya\xe2\x80\xa6 https://t.co/99rJRcFeeX'
2039,,"b'@collegemenfess MBKM magang sih nder, itu benefitnya gede menurutku. Sama ini sih, kalau kamu masih muda gini, mend\xe2\x80\xa6 https://t.co/cQayvWCd5c'"
2040,,"b""@Miyodesuu Mbkm itu si coy, tapi ya ntar kek kkn tapi versi lebih lama :'D"""
2041,,"b'[cm] ternyata ga ada temen di kelas tuh bener"" jd pengaruh kita kuliah ya. temenku lolos program mbkm, sedangkan ak\xe2\x80\xa6 https://t.co/Q0jQescklB'"
2042,,"b'klo dipikir2 keren bgt aku sanggup kuliah, pkl, mbkm, kmmi, dan ngurus 5 kepanitiaan di smt ini!\xf0\x9f\xa5\xb3 dgn tentunya lapr\xe2\x80\xa6 https://t.co/0YgELz3WU9'"
2043,,b'[cm] guys kalo dapet mbkm trus bisa dikonversi sksnya masih harus krsan ga sih?'
2044,,"b'After long journey, dikira jalan-jalan padahal jobseeker (doa ke Bogor terkabul) dan pas nemu tempat malah ada some\xe2\x80\xa6 https://t.co/bx7qtOVKPm'"
2045,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2046,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2047,,b'@HorridUrinary Semakin overthinking karena mbkm\xf0\x9f\x98\xb5'
2048,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2049,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2050,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2051,,b'[cm] Ada anak fkip pendidikan yg ikut program mbkm selain kampus mengajar? Kalian ikut program apa dan apply dimana\xe2\x80\xa6 https://t.co/XN7jfZox1W'
2052,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2053,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2054,,b'[cm] disini ada yg daftar magang mbkm di blibli gak? udah ada pemberitahuan interview atau belum? tia'
2055,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2056,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2057,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2058,,b'@Onewraffe @collegemenfess Kamu mbkm ikut apa nder?'
2059,,"b""logbook magang MBKM diisi sehari 1,\nlogbook KKN mesti diisi per jam kegiatannya wkwkw jd jangan nunda ngisi bgt dah _( :'3rz)_"""
2060,,"b'@collegemenfess Akuu selain skripsi di labb, aku jg habis kelar mbkm batch 1 trs mau lanjut mbkm batch 2 niee. Lg d\xe2\x80\xa6 https://t.co/K12Oh7ELYD'"
2061,,b'@collegemenfess klo mnurutku bilang aja nder kalo km punya timelinemu sendiri untuk menjalani kuliah reguler. dan b\xe2\x80\xa6 https://t.co/rxSL48xNlD'
2062,,b'@collegemenfess ikut mbkm tu langsung lolos atau ada tes nya?'
2063,,b'Ugm_fess ada yang daftar magang MBKM bpom kah?'
2064,,"b'@collegemenfess Kayaknya sekarang mbkm lagi wajib-wajibnya karena memengaruhi akreditasi deh, makanya gitu\nDikampus\xe2\x80\xa6 https://t.co/RxHgh9v6Fe'"
2065,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2066,,b'[cm] GIMANA CARANYA NOLAK PAKSAAN IKUT MBKM DARI DOSBING?? \xf0\x9f\x98\xa9 https://t.co/EBX0DVpSIb'
2067,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2068,,b'@sangrindra Mbkm yg kemendikbud bukan?'
2069,,"b'Tahun lalu gak lolos MBKM gara"" kesalahan admin, eh sekarang giliran iseng doang malah lolos:( padal tahun ini udah\xe2\x80\xa6 https://t.co/Z1p4hqV9Kd'"
2070,,b'@whtisur kapan lu ganti laptop cuy pake tu duit mbkm HAHAHAHAHA'
2071,,b'Iri banget sama yang ikut mbkm cuma disupport sama jurusannya kayak wow???\n\nJurusan kalian apa ga kepikiran ngeribe\xe2\x80\xa6 https://t.co/rXFc6D8yXf'
2072,,b'Mbkm ga buka magang di psi ya'
2073,,"b'@collegemenfess Program mbkm, pmmb, free premium wps gratis (pakai email kampus), free premium canva gratis (pakai\xe2\x80\xa6 https://t.co/QtWrI3cCCC'"
2074,,b'Ikut mbkm nggak ya\n\nADUH BINGUNGGG'
2075,,b'RT @seameorecfon: Mari hadiri Webinar Nasional \xe2\x80\x9cOptimisme SEAMEO Centers Indonesia di Tengah Pandemi COVID-19 dalam Mendukung Keberlangsung\xe2\x80\xa6'
2076,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2077,,b'magang mbkm hybrid \n\npening banget denger 3 kata ini mulu'
2078,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2079,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2080,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2081,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2082,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2083,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2084,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2085,,"b'@pseudocrescent @UNSfess_ Hooh, masih ngalor ngidul kalok masalah konversi mbkm \xf0\x9f\xa5\xb2'"
2086,,b'MBKM KONTOL'
2087,,"b'[cm] Saran dong, aku lagi skripsian otw smt 8 kdg bosen nunggu balasan dospem, pengen ikut kegiatan lain ky mbkm gi\xe2\x80\xa6 https://t.co/idsBFDisGo'"
2088,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2089,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2090,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2091,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2092,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2093,,b'@collegemenfess Tergantung programnya setauku. Soalnya pernah ikut program MBKM di kampus lain dan pesertanya ada yang semester 1'
2094,,b'[cm] sebenernya mbkm itu untuk semester berapa ya? aku semester 2 tapi kok udah disuru ya?'
2095,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2096,,"b'Ya Allah malah turun pulak nilainya di mbkm, gakuat anjir nangis'"
2097,,b'bisa bisanya masuknya ke spam nih email mbkm'
2098,,"b'Sakit hati banget liat nilai di mbkm kok ga nyampe 8, se tim nilai aku doang yang paling kecil, mana itu juga terma\xe2\x80\xa6 https://t.co/DTHjb8zK8E'"
2099,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2100,,b'*[SOSIALISASI PROGRAM MBKM: INDONESIAN INTERNATIONAL STUDENT MOBILITY AWARDS (IISMA) 2022]* https://t.co/5eKpHfoqx3'
2101,,b'Tim MBKM dan PD Dikti Jemput Bola ke Unit Kerja Samakan persepsi terkait MBKM dan Pelaporan PD Dikti https://t.co/2p3P1K4kCH'
2102,,b'ada yang apply magang kampus merdeka mbkm di cvnya nyantumin perusahaan yg masih on going magang terus lolos berkas ga si'
2103,,b'nangis liat realita konversi sks MBKM \xf0\x9f\x99\x83nyiapin mental 9 semester sek'
2104,,"b'-upnsby yg smt 6 ini tuh brrti udh wajib ikut kkn mbkm / kkn reguler ya?? :""'"
2105,,b'@collegemenfess Mbkm wkwk'
2106,,b'-upnsby rek kkn tematik mbkm kii wajib ta buat mahasiswa mt 4?'
2107,,"b'RT @collegemenfess: [cm] hiiii para mahasiswa teknik/IT domisili jogja, ada yang tertarik ikut magang MBKM di Februari-Juli ini? Ada magang\xe2\x80\xa6'"
2108,,"b'[cm] hiiii para mahasiswa teknik/IT domisili jogja, ada yang tertarik ikut magang MBKM di Februari-Juli ini? Ada ma\xe2\x80\xa6 https://t.co/gmE0vbMhyr'"
2109,,"b'Tahun Ini 150.000 Mahasiswa  Ditarget Ikut MBKM, agar Saat Lulus Memenuhi Kebutuhan Dunia Usaha https://t.co/QFi9rwaKXh'"
2110,,b'RT @KATADATAcoid: Ikatan Sarjana Ekonomi Indonesia (ISEI) Jakarta dan BEI menandatangani nota kesepahaman (MoU) kerja sama untuk mendukung\xe2\x80\xa6'
2111,,"b'Kkn, pbl, pkl, magang, mbkm merupakan ajang ujian kesetiaan. Bisa ga cinlok sama \xe2\x80\x9cteman\xe2\x80\x9d!dan masih lanjutin hubunga\xe2\x80\xa6 https://t.co/8lx2J8kgGI'"
2112,,b'Kebijakan Merdeka Belajar Kampus Merdeka (MBKM) digadang-gadang sebagai inovasi terhadap pendidikan tinggi di Indonesia.'
2113,,"b'Sukseskan Program MBKM, ISEI Jakarta Gandeng BEI, Himbara, dan Kadin https://t.co/kGoNySBao0 https://t.co/rUFG5ufmnK'"
2114,,b'Ikatan Sarjana Ekonomi Indonesia (ISEI) Jakarta dan BEI menandatangani nota kesepahaman (MoU) kerja sama untuk mend\xe2\x80\xa6 https://t.co/v19TIKygYD'
2115,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2116,,"b'i mean baguss kok ambis. Cuman kan ada istilah \xe2\x80\x9cdimana bumi dipijak, di situ langit di junjung.\xe2\x80\x9d Kesel banget gue,\xe2\x80\xa6 https://t.co/sBw1e9WaMi'"
2117,,"b'Rek, mbkm itu wajib apa enggak? um!'"
2118,,b'Heran maksa banget mau ikut mbkm padahal batch 1 udah keterima. Katanya masih garela karena kampus lain masih dibol\xe2\x80\xa6 https://t.co/I2dlNxxY9C'
2119,,b'!upi yg ikut magang di zenius udah dapet email lagi kah abis tes yg terakhir? email upi sempet error takut gamasuk\xe2\x80\xa6 https://t.co/wdURgi9mZp'
2120,,"b'@Endongoreng Udah katanya dosen PA suruh ambil matkul yang MBKM trs nanti dikonversikan ke matkul itu, tapi masak s\xe2\x80\xa6 https://t.co/uIJl9JpncA'"
2121,,b'Jends FH semester 6 magang MBKM yg dari fakultas yay/nay ? Dan kalo ambil matkul pilihan di smt 7 gimana y/n ? Makasih \xf0\x9f\x99\x8f'
2122,,"b'saking bucinnya gua sengaja ngambil matkul MBKM, semoga aja dapet di unnes biar brng supi\xf0\x9f\xa4\xad\xf0\x9f\xa4\xad'"
2123,,b'pilihan udh di depan mata tp bnr2 masih bingung mau ambil reg atau mbkm\xe2\x80\xa6'
2124,,b'nekat full sks pdhl ada kti dan kkn sem ini ahihihi ditambah join mbkm ahihihi terus volunteeran ahihihi'
2125,,b'21st January 2022\nKebersamaan Bidang Pengelolaan MBKM \xe2\x98\xba\xef\xb8\x8f https://t.co/QnqPInAqU2'
2126,,"b'RT @naviellawin: \xe2\x99\xa5\xef\xb8\x8f giveaway \xe2\x99\xa5\xef\xb8\x8f\nkarena aku lolos mbkm dikti, jadi aku mau bagi bagi hadiah kecil buat temen temen di sinii. caranya cuma li\xe2\x80\xa6'"
2127,,"b'@susumatchaaaa pun10 ka mo nanyaa, mbkm program buat mahasiswa smt berapa sii?'"
2128,,b'Sumpah laporan MBKM \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad bejibun logbooknya \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbd'
2129,,"b'Jends, salah gasi klo kita iri sma temen yg magang/studi independen mbkm :('"
2130,,"b'Nesa! Mau nanya, ada yg tau ga alurnya untuk konfirmasi kl lolos mbkm (magang/SI)?\nKe kaprodi lgsung apa ke dpa dulu?\nMakasiiii'"
2131,,"b'@ubsansfess Dapet tapi based on pengalamannya orang-orang, telat telat parah, dan gaji juga beda beda. Jadi saranku\xe2\x80\xa6 https://t.co/dhdiDX9gUU'"
2132,,"b'braw! guys magang mbkm dapet uwang bulanan ga ya? aku bingung kalo kalo engga, soalnya harus cari penginapan dan uang makan sendiri'"
2133,,b'Hah mbkm gada pembiayaan dari fakultas?\nTergantung mitra'
2134,,"b'@naviellawin Halo #InsanDikti , Mahasiswa yang mengikuti program MSIB MBKM bisa mendapatkan uang saku sesuai dengan\xe2\x80\xa6 https://t.co/jFYT1SKBg1'"
2135,,"b'@mbohrarohiki Halo #InsanDikti, mohon dapat diinformasikan untuk program MBKM yang mana. Terima kasih'"
2136,,"b'@kuaidan @raffi_putra_ @jefryna eh bukan mbkm wkwkwk, lebih ke sekolah sama penerapan kurikulum baru yang dipaksain\xe2\x80\xa6 https://t.co/GDeqndlopw'"
2137,,b'eh g jadi bntar lupa besok adda sosialisasi mbkm riset'
2138,,b'Ironi MBKM di Perguruan Tinggi: MBKM atau Merdeka Belajar - Kampus Merdeka adalah kebijakan baru yang digaungkan Ke\xe2\x80\xa6 https://t.co/4tdbtessYy'
2139,,"b'Curcol dikit, ngomongin mbkm, dari awal udah prepare banget mau daftar program ini, udah nyari info dari semester l\xe2\x80\xa6 https://t.co/HKYMupWL0z'"
2140,,b'@jefryna @ikhzayn mbkm trial'
2141,,b'@ikhzayn Akibat sudah semangat mbkm tapi honor ga turun'
2142,,b'Abis Test Studi independen program MBKM dr PT..... Testnya ada yg logic Test dan soft skill.....'
2143,,b'Yang orang tuanya dosen udah marah2 tentang MBKM belum sih?'
2144,,"b'SETANN, MANA ADA MBKM DIWAJIBIN TAI'"
2145,,b'@yeocindra tanyain mbkm'
2146,,b'@dennydewanta @UGM_FESS Kating ku skripsian sambil pada magang mbkm'
2147,,b'Ugm_fess ikut program mbkm tu enaknya smt brp ya?'
2148,,"b'yaelah masuk masih seminggu tp dah pusing, buat apa pas krsan milih matkul mbkm yang nggak tabrakan jadwalnya tapi\xe2\x80\xa6 https://t.co/3gHl6kne1n'"
2149,,"b'[cm] haloo mau tanya, ada yg udah keterima mbkm bl1bli atau sib hackt1v8 kah? Aku masih belum ada balesan setelah interview dan test\xf0\x9f\x98\xa2'"
2150,,b'Mari hadiri Webinar Nasional \xe2\x80\x9cOptimisme SEAMEO Centers Indonesia di Tengah Pandemi COVID-19 dalam Mendukung Keberla\xe2\x80\xa6 https://t.co/p32GZEiHSf'
2151,,"b'Merdeka Belajar \xe2\x80\x93 Kampus Merdeka (MBKM), merupakan kebijakan Menteri @nadiemmakarim @Kemdikbud_RI yang bertujuan me\xe2\x80\xa6 https://t.co/MDV5zptJbl'"
2152,,"b'@collegemenfess Pelajaran yang pernah kudapat waktu kuliah, BODO AMAT AMA TEMEN W YANG PENTING GW JALAN, FUCK OFF A\xe2\x80\xa6 https://t.co/SY7LO7Yxhb'"
2153,,b'@collegemenfess Cek aja di akun mbkm statusnya gmn? Masih seleksi atau tidak lolos'
2154,,b'[cm] ada yang kmrn mbkm magang d petro ga? Klo ada boleh aku ketuk dmnya?'
2155,,b'Ugm_fess ikut mbkm lebih baik mulai sem berapa ya?'
2156,,"b'@UNYmfs /uny Saya baru semester 2 D-4, kemaren pas krss-an cuma dapat 22 SKS, kan max nya itu 24, apa Ada cara lain\xe2\x80\xa6 https://t.co/9CTIWECevR'"
2157,,"b'Pertama kali dapet ip dibawah 3,7 sial nangis bgt tega sekali dosen2 smt 5, untung mbkm jadi gak harus ketemu dosen\xe2\x80\xa6 https://t.co/rGWJbU9OAB'"
2158,,b'@nakhung_ @coffebit Jangan2 sek wingi mbkm ning Indomaret mas rifaldi \xf0\x9f\x98\xad\xf0\x9f\x91\x8d'
2159,,"b'@DraftAnakUnpad Gue dlu ga engeh ada status mahasiswa tp ada di kelas gue anak mbkm, 4 digit npm terakhirnha 9003 b\xe2\x80\xa6 https://t.co/gdmnzYHfY9'"
2160,,b'coba tolong semangatin ak buat ngerjain test dri magang mbkm\n\ndeadlinenya malem ini soalnya \xf0\x9f\x98\x80\xf0\x9f\x98\x80\xf0\x9f\x98\x80'
2161,,b'mbkm penelitian sounds tempting tp mager'
2162,,b'-ness registrasi UNNES giat itu dimulai kapan ya? Di pamflet dari 21-23 tapi di sistem mbkm belum adaa to'
2163,,"b'Menyesal sekali ngambil TA inline diginope, bener2 gamau ngurusin samsek lg tu mbkm laknat'"
2164,,b'@collegemenfess Keknya sie iya nder. Kita jadi kek guru gtu di sekolahan. Maybe untuk lebih jelasnya bsa baca baca\xe2\x80\xa6 https://t.co/s0d7UIp1bL'
2165,,"b'@lee_watermark done wml, wish aku ditahun ini semoga banyak rejeki, sehat selalu, dikelilingi orang2 baik, lolos mb\xe2\x80\xa6 https://t.co/sd9wCdfzfD'"
2166,,"b'@hydratedcsy done wml, semoga testnya lancar ya kak dan mendapatkan hasil yg diingikan\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb\nwish aku ditahun ini sem\xe2\x80\xa6 https://t.co/iAobJJTAiA'"
2167,,b'[cm] kalo ikut mbkm apakah ttp bisa ambil penelitian buat seminar/skripsi di semester yg sama? TIA!'
2168,,"b'Deg-degan gt ga sih mo kuliah offline. Kek takut banget mo ketemu banyak orang, apalagi hampir 2 tahun kulon dan semester kemaren mbkm'"
2169,,"b'@collegemenfess Situasinya sm kyk aku. Mending kuliah dulu. Soalnya, kata temen2, mbkm + ambil matkul tuh susah bag\xe2\x80\xa6 https://t.co/dj0BCuvNmX'"
2170,,"b'[Cm] halo warga colle, kalian ada yang ikut daftar kegiatan MBKM yang bekerja sama dgn BRIN nggak?? Kalo ada sender\xe2\x80\xa6 https://t.co/KSAgyQLgSx'"
2171,,b'@ipb_menfess kalau aku aktivitas yang dipenyetaraan mbkm yg ilang ;('
2172,,b'RT @ditferguso: prodinya ramah mbkm...'
2173,,b'@collegemenfess studi independen itu termasuk salah satu program mbkm nder'
2174,,b'@Fidvid14 Ada aja ye orang kek gini ya Allah. Padahal di aku juga banyak terjadi perubahan buat matkul di irs karena adanya mbkm'
2175,,"b'@collegemenfess Mbkm tu merdeka belajar kampus merdeka, programnya ada kampus mengajar, magang, studi independent, bangkit, iisma, sama kmmi'"
2176,,"b'@collegemenfess Mbkm itu keseluruhan, merdeka belajar kampus merdeka. Programnya macem2, salah satunya studi independen'"
2177,,b'[cm] bedanya mbkm sama studi independen itu apa ya?'
2178,,"b'@collegemenfess Magang + jadi Kadiv + 23 SKS gimana rasanya nder, apa nggak remuk badanmu..\n\nMbkm.'"
2179,,b'@collegemenfess mbkm'
2180,,b'[cm] mbkm studi independent satu semester / magang jurnalistik 3 bulan? tpi  jdi kadiv organisasi kampus dan 23 sks'
2181,,"b'@ubsansfess emang ribet ya? kalo di fisip mah uda ada tim mbkm yg khusus ngurusin konveris, jd mahasiswa ga ribet,\xe2\x80\xa6 https://t.co/eCkz6mcS2e'"
2182,,"b'[cm] kalo buat daftar mbkm, mending pke cv design atau yg ats friendly?'"
2183,,"b'demi apa pun scared bgt, rang orang dah dapat pengumuman mbkm, dan gue belum :(('"
2184,,"b'Btw, aku uda dapet jawaban overthinkingku soal kuliahku. Jadi mau ambil mbkm, tinggal nunggu seleksi dan pengumuman\xe2\x80\xa6 https://t.co/dk65bObqiU'"
2185,,"b'habis magang mbkm ini, w jadi makin pede buat meminang big company \xf0\x9f\x99\x8f'"
2186,,b'@UGM_FESS Habis ngajuin keringanan ditolak ehehehehehehe i feel you dahal rencananya mau ambil mbkm alis gak ke kampus samsek'
2187,,"b'Malam minggu jualan ayam bakar, sambil ngedrakor, diselingin apply magang MBKM. Kurang multitasking apa gue.'"
2188,,"b'@collegemenfess Fakultas bisa sih nder, aku ikut program mbkm buat online winter school dapet dari fakultas.'"
2189,,"b'What the fak \nSeharusnya jurusan sndiri harus tegas lah sama aturan, kl kyk gini yg ndk adilnya malah sama yg ikut mbkm.'"
2190,,"b'@collegemenfess ga ikut apa2 mau hiatus smt 4, mbkm lelah anjir cape'"
2191,,b'@jaeyunootnoot tp jujur yeee klo mbkm ga disupport sama kaprodi lu yg tertekan kaya gue anjingggg 24 sks full ditam\xe2\x80\xa6 https://t.co/ZgzmjLxRuh'
2192,,"b'@ubsansfess semua ada +/- nya sih, temenku mbkm emang jd lama kknnya, tp lumayan bisa dpt koneksi kerja, gaji, ada\xe2\x80\xa6 https://t.co/RKQqt2W9lf'"
2193,,b'RT @collegemenfess: [cm] kalian pilih ikut PKM atau MBKM? kasih alasannya dong'
2194,,b'@collegemenfess Mbkm ga dilarang pkm kan ya? Cuma dilarang seminar aja? Ambil aja mungkin...'
